ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
166,19640117,132722,-3.4399999999999999,-77.5,33,4.5999999999999996,20223006
167,19640126,090935,-16.359999999999999,-71.620000000000005,116,6.2000000000000002,20223006
168,19640128,130350,-14.82,-71.849999999999994,136,4.5999999999999996,20223006
169,19640201,114737,-3.226,-77.769999999999996,87,5.4000000000000004,20223006
170,19640204,062453,-4.2599999999999998,-80.799999999999997,100,4.5,20223006
171,19640204,073808,-4,-80.790000000000006,67,4.9000000000000004,20223006
172,19640215,044606,-7.6799999999999997,-76,33,4.5999999999999996,20223006
173,19640216,100338,-7.6500000000000004,-75.670000000000002,35,4.9000000000000004,20223006
174,19640218,103323,-8.3000000000000007,-78,33,4.9000000000000004,20223006
175,19640219,062912,-17.16,-70.719999999999999,134,4.5,20223006
176,19640220,072223,-9.3200000000000003,-74.540000000000006,77,4.9000000000000004,20223006
177,19640220,105743,-13.759,-75.620000000000005,65,4.9000000000000004,20223006
178,19640221,135148,-7,-81.5,33,4.7999999999999998,20223006
179,19640221,215213,-7.3399999999999999,-79.150000000000006,36,4.7999999999999998,20223006
180,19640223,043519,-17.289999999999999,-74.200000000000003,38,4.7999999999999998,20223006
181,19640224,183834,-3.3700000000000001,-78,33,5,20223006
182,19640307,045104,-18.600000000000001,-70.400000000000006,112,4.9000000000000004,20223006
183,19640307,205328,-10.050000000000001,-78.894999999999996,37,4.7000000000000002,20223006
184,19640310,224854,-18.199999999999999,-70.640000000000001,138,4.9000000000000004,20223006
185,19640314,021402,-7.7999999999999998,-75.400000000000006,33,4.7000000000000002,20223006
186,19640319,222904,-15.483000000000001,-72.980000000000004,117,5.0999999999999996,20223006
187,19640322,070537,-5.6420000000000003,-77.019999999999996,116,5.5,20223006
188,19640322,175118,-14.196,-75.661000000000001,59,4.7999999999999998,20223006
189,19640324,063619,-5.4000000000000004,-79.400000000000006,33,4.5,20223006
190,19640326,052506,-5.1369999999999996,-76.549999999999997,120,5.2000000000000002,20223006
191,19640401,042655,-2.835,-80.263000000000005,35,4.9000000000000004,20223006
